batch_size,epochs,optimizer,activation,mse,mae,r2,rmse
10,50,adam_005,tanh,0.19309096374428042,0.3520194774142121,0.6023165969578741,0.43942116897605243
10,50,adam_005,sigmoid,0.14502359840586812,0.2960668858355175,0.701314463312535,0.3808196402575215
10,50,adam_01,relu,0.503838820860846,0.5878592564936684,-0.0376888331762153,0.7098160471987415
10,50,adam_01,tanh,0.150201178578208,0.30597500482137113,0.6906509000751251,0.3875579680231178
10,50,adam_01,sigmoid,0.48799964663344053,0.5742871576458364,-0.0050670232997378495,0.6985697149414942
10,100,sgd_001,relu,0.07224222962430059,0.20791322972334167,0.8512124277426549,0.26877914655772794
10,100,sgd_001,tanh,0.07205195210045809,0.21128633639578415,0.8516043166831665,0.2684249468668255
10,100,sgd_001,sigmoid,0.07698975885449591,0.2176024535809103,0.8414345824012932,0.2774702846333205
10,100,sgd_0001,relu,0.07112971970663706,0.20902395955338057,0.8535037143020843,0.26670155550097013
10,100,sgd_0001,tanh,0.07470278475342917,0.2150468882268757,0.8461447543614162,0.27331810176684085
10,100,sgd_0001,sigmoid,0.08616368158566479,0.22896628609116185,0.822540291647178,0.2935365080968035
10,100,adam_001,relu,0.07702219842930891,0.21500926016967822,0.8413677709863274,0.27752873442097653
10,100,adam_001,tanh,0.08219252348284187,0.22085362016262114,0.8307191501381451,0.2866923847660448
10,100,adam_001,sigmoid,0.08319501809829008,0.22447854226123473,0.8286544472516297,0.28843546608953985
10,100,adam_0001,relu,0.0757732848394245,0.2128512711374216,0.8439399897836221,0.27526947676672125
10,100,adam_0001,tanh,0.07303358597665915,0.20827908418341207,0.8495825778464073,0.2702472682131295
10,100,adam_0001,sigmoid,0.06806861538287091,0.20342400259662188,0.8598082578236262,0.2608996270270828
10,100,sgd_005,relu,0.07884152602921878,0.22145281245030102,0.8376207474221444,0.280787332387376
10,100,sgd_005,tanh,0.0722999426916868,0.209439801051097,0.8510935639253479,0.2688864866289989
10,100,sgd_005,sigmoid,0.06921180695656719,0.204228603296391,0.8574537803973356,0.2630813694592743
10,100,sgd_01,relu,0.0762250864199508,0.2159120982260553,0.8430094750326498,0.27608891035307953
10,100,sgd_01,tanh,0.07110979749482728,0.2072635970536167,0.8535447453935192,0.2666642036247597
10,100,sgd_01,sigmoid,0.0670632516218454,0.20183379223263404,0.8618788699021352,0.2589657344550537
10,100,adam_005,relu,0.4861313298767021,0.5686030043540105,-0.001219103379651143,0.6972311882558769
10,100,adam_005,tanh,0.21446920911097617,0.37575178044806307,0.5582867096776158,0.46310820453861123
10,100,adam_005,sigmoid,0.1107352391932494,0.2597424855843161,0.7719335700381285,0.33276904782934574
10,100,adam_01,relu,0.5141464773494633,0.5946823221355826,-0.05891812236869831,0.7170400807133889
10,100,adam_01,tanh,0.29817951144518173,0.4285301276411668,0.3858798955190833,0.5460581575667391
