dataset,batch_size,epochs,optimizer,activation,mse,mae,r2,rmse,predNAN
2022all,20,20,adam_01,sigmoid,0.79769289,0.702800755,-0.031019105,0.893136546,0
,,,,,,,,,
2022all,20,50,sgd_001,relu,106.3823871,1.065051974,-136.4993747,10.31418378,0
,,,,,,,,,
2022all,20,50,sgd_001,tanh,0.108935086,0.251425269,0.859201258,0.330053157,0
,,,,,,,,,
2022all,20,50,sgd_001,sigmoid,0.209242061,0.337354147,0.729554363,0.457429842,0
,,,,,,,,,
2022all,20,50,sgd_0001,relu,1.204069186,0.34025542,-0.556261,1.097300864,0
,,,,,,,,,
2022all,20,50,sgd_0001,tanh,0.173696633,0.307030329,0.775496874,0.416769281,0
,,,,,,,,,
2022all,20,50,sgd_0001,sigmoid,0.539429453,0.58998608,0.302786726,0.734458612,0
,,,,,,,,,
2022all,20,50,adam_001,relu,0.098241875,0.230863632,0.873022247,0.3134356,0
,,,,,,,,,
2022all,20,50,adam_001,tanh,0.08606089,0.22299515,0.888766187,0.293361364,0
,,,,,,,,,
2022all,20,50,adam_001,sigmoid,0.077754306,0.209014798,0.899502458,0.278844591,0
,,,,,,,,,
2022all,20,50,adam_0001,relu,0.103985621,0.215386988,0.865598449,0.322468016,0
,,,,,,,,,
2022all,20,50,adam_0001,tanh,0.081038166,0.216232421,0.895258064,0.284672033,0
,,,,,,,,,
2022all,20,50,adam_0001,sigmoid,0.088884526,0.225138055,0.885116634,0.298135079,0
,,,,,,,,,
2022all,20,50,sgd_005,relu,0,0,0,0,100
,,,,,,,,,
2022all,20,50,sgd_005,tanh,0.097466993,0.232030097,0.874023784,0.312197042,0
,,,,,,,,,
2022all,20,50,sgd_005,sigmoid,0.121900974,0.265640187,0.842442832,0.3491432,0
,,,,,,,,,
2022all,20,50,sgd_01,relu,0,0,0,0,100
,,,,,,,,,
2022all,20,50,sgd_01,tanh,0.089293134,0.228554404,0.884588507,0.298819568,0
,,,,,,,,,
2022all,20,50,sgd_01,sigmoid,0.126662171,0.266587752,0.836288978,0.355896293,0
,,,,,,,,,
2022all,20,50,adam_005,relu,0.788426439,0.730432826,-0.019042205,0.887933803,0
,,,,,,,,,
2022all,20,50,adam_005,tanh,0.118765331,0.266146403,0.846495654,0.344623463,0
,,,,,,,,,
2022all,20,50,adam_005,sigmoid,0.108515717,0.255413886,0.859743293,0.329417239,0
,,,,,,,,,
2022all,20,50,adam_01,relu,0.776449705,0.717272087,-0.003562261,0.881163836,0
,,,,,,,,,
2022all,20,50,adam_01,tanh,0.269953815,0.426851266,0.65108434,0.519570799,0
,,,,,,,,,
2022all,20,50,adam_01,sigmoid,0.798921001,0.739065086,-0.03260644,0.893823809,0
,,,,,,,,,
2022all,20,80,sgd_001,relu,0.52211082,0.404152574,0.325171081,0.722572363,0
,,,,,,,,,
2022all,20,80,sgd_001,tanh,0.098950219,0.231443542,0.872106712,0.314563537,0
,,,,,,,,,
2022all,20,80,sgd_001,sigmoid,0.158932356,0.304931291,0.794579722,0.398663211,0
,,,,,,,,,
2022all,20,80,sgd_0001,relu,0.989770214,0.301070045,-0.279279299,0.994871959,0
,,,,,,,,,
2022all,20,80,sgd_0001,tanh,0.154011727,0.289138162,0.800939641,0.392443279,0
,,,,,,,,,
2022all,20,80,sgd_0001,sigmoid,0.441673025,0.526295996,0.429137037,0.664584852,0
,,,,,,,,,
2022all,20,80,adam_001,relu,0.111235557,0.23115223,0.856227896,0.333519951,0
,,,,,,,,,
2022all,20,80,adam_001,tanh,0.079218726,0.212577702,0.897609693,0.281458213,0
,,,,,,,,,
2022all,20,80,adam_001,sigmoid,0.07861618,0.215596754,0.898388484,0.28038577,0
,,,,,,,,,
2022all,20,80,adam_0001,relu,1.060439461,0.252084912,-0.370619393,1.029776413,0
,,,,,,,,,
2022all,20,80,adam_0001,tanh,0.077737449,0.20699396,0.899524245,0.278814363,0
,,,,,,,,,
2022all,20,80,adam_0001,sigmoid,0.087993228,0.226653465,0.886268637,0.296636525,0
,,,,,,,,,
2022all,20,80,sgd_005,relu,0.791608631,0.733238106,-0.023155192,0.889723907,0
,,,,,,,,,
2022all,20,80,sgd_005,tanh,0.0806592,0.2174295,0.895747879,0.284005633,0
,,,,,,,,,
2022all,20,80,sgd_005,sigmoid,0.112404203,0.252430797,0.854717421,0.33526736,0
,,,,,,,,,
2022all,20,80,sgd_01,relu,0.78315525,0.725414791,-0.012229187,0.884960592,0
,,,,,,,,,
2022all,20,80,sgd_01,tanh,0.08017641,0.215512881,0.896371885,0.283154392,0
,,,,,,,,,
2022all,20,80,sgd_01,sigmoid,0.109133291,0.254537748,0.858945079,0.330353282,0
,,,,,,,,,
2022all,20,80,adam_005,relu,0.786981906,0.729109837,-0.017175145,0.887120007,0
,,,,,,,,,
2022all,20,80,adam_005,tanh,0.149261366,0.291253724,0.807079488,0.386343586,0
,,,,,,,,,
2022all,20,80,adam_005,sigmoid,0.781573193,0.723757705,-0.010184375,0.884066283,0
,,,,,,,,,
2022all,20,80,adam_01,relu,0.826325469,0.757360488,-0.068026751,0.90902446,0
,,,,,,,,,
2022all,20,80,adam_01,tanh,0.355987595,0.490903204,0.539885568,0.59664696,0
,,,,,,,,,
2022all,20,80,adam_01,sigmoid,0.783254769,0.702765949,-0.012357816,0.885016819,0
,,,,,,,,,
2022all,20,120,sgd_001,relu,0,0,0,0,100
,,,,,,,,,
2022all,20,120,sgd_001,tanh,0.097721031,0.231440846,0.87369544,0.312603632,0
,,,,,,,,,
2022all,20,120,sgd_001,sigmoid,0.132307275,0.26641369,0.828992673,0.363740671,0
,,,,,,,,,
2022all,20,120,sgd_0001,relu,1.336958276,0.298905705,-0.728020324,1.156269119,0
,,,,,,,,,
2022all,20,120,sgd_0001,tanh,0.13093017,0.262951775,0.830772584,0.361842742,0
,,,,,,,,,
2022all,20,120,sgd_0001,sigmoid,0.375118866,0.477470388,0.515158374,0.612469481,0
,,,,,,,,,
2022all,20,120,adam_001,relu,0.081552839,0.215236829,0.894592848,0.285574577,0
,,,,,,,,,
2022all,20,120,adam_001,tanh,0.084882755,0.215833494,0.890288928,0.291346452,0
,,,,,,,,,
2022all,20,120,adam_001,sigmoid,0.073078988,0.202574845,0.905545313,0.270331256,0
,,,,,,,,,
2022all,20,120,adam_0001,relu,1.522475806,0.247914185,-0.967801974,1.233886464,0
,,,,,,,,,
2022all,20,120,adam_0001,tanh,0.075817471,0.206290024,0.902005819,0.275349725,0
,,,,,,,,,
2022all,20,120,adam_0001,sigmoid,0.076144809,0.207247177,0.901582734,0.275943489,0
,,,,,,,,,
2022all,20,120,sgd_005,relu,0,0,0,0,100
,,,,,,,,,
2022all,20,120,sgd_005,tanh,0.083634581,0.219675953,0.891902195,0.289196439,0
,,,,,,,,,
2022all,20,120,sgd_005,sigmoid,0.118089687,0.268201201,0.847368925,0.3436418,0
,,,,,,,,,
2022all,20,120,sgd_01,relu,0,0,0,0,100
,,,,,,,,,
2022all,20,120,sgd_01,tanh,0.094483095,0.234458027,0.877880476,0.307381026,0
,,,,,,,,,
2022all,20,120,sgd_01,sigmoid,0.099952208,0.242872467,0.87081164,0.316152192,0
,,,,,,,,,
2022all,20,120,adam_005,relu,0.773880181,0.711411239,-0.000241148,0.879704599,0
,,,,,,,,,
2022all,20,120,adam_005,tanh,0.12194607,0.274108941,0.842384545,0.349207774,0
,,,,,,,,,
2022all,20,120,adam_005,sigmoid,0.115833311,0.26150518,0.850285294,0.340342931,0
,,,,,,,,,
2022all,20,120,adam_01,relu,0.792722012,0.73411307,-0.024594239,0.890349376,0
,,,,,,,,,
2022all,20,120,adam_01,tanh,0.426048097,0.510032933,0.449332276,0.652723599,0
,,,,,,,,,
2022all,20,120,adam_01,sigmoid,0.779600396,0.721527919,-0.007634533,0.882949826,0
,,,,,,,,,
2022all,40,20,sgd_001,relu,1.576813409,0.304419693,-1.038033397,1.255712311,0
,,,,,,,,,
2022all,40,20,sgd_001,tanh,0.141023264,0.279977652,0.817727247,0.375530643,0
,,,,,,,,,
2022all,40,20,sgd_001,sigmoid,0.397583265,0.490547357,0.486123109,0.63054204,0
,,,,,,,,,
2022all,40,20,sgd_0001,relu,0.983991205,0.469951618,-0.271809922,0.991963308,0
,,,,,,,,,
2022all,40,20,sgd_0001,tanh,0.296889815,0.42880661,0.616269526,0.544875963,0
,,,,,,,,,
2022all,40,20,sgd_0001,sigmoid,0.747700583,0.707854247,0.033596017,0.864696816,0
,,,,,,,,,
2022all,40,20,adam_001,relu,0.30271857,0.288588779,0.608735852,0.550198664,0
,,,,,,,,,
2022all,40,20,adam_001,tanh,0.07625744,0.211455415,0.901437159,0.276147496,0
,,,,,,,,,
2022all,40,20,adam_001,sigmoid,0.076276711,0.209364763,0.901412251,0.276182387,0
,,,,,,,,,
2022all,40,20,adam_0001,relu,1.260711594,0.293667859,-0.629471387,1.12281414,0
,,,,,,,,,
2022all,40,20,adam_0001,tanh,0.090143267,0.23071126,0.883489709,0.300238683,0
,,,,,,,,,
2022all,40,20,adam_0001,sigmoid,0.111708212,0.247132979,0.85561699,0.334227785,0
,,,,,,,,,
2022all,40,20,sgd_005,relu,0,0,0,0,100
,,,,,,,,,
2022all,40,20,sgd_005,tanh,0.107575396,0.243756103,0.86095866,0.327986884,0
,,,,,,,,,
2022all,40,20,sgd_005,sigmoid,0.207231432,0.346824791,0.732153103,0.455226792,0
,,,,,,,,,
2022all,40,20,sgd_01,relu,0.342131376,0.431908061,0.557794748,0.584919974,0
,,,,,,,,,
2022all,40,20,sgd_01,tanh,0.105948186,0.243877089,0.863061831,0.325496829,0
,,,,,,,,,
2022all,40,20,sgd_01,sigmoid,0.142844193,0.278653568,0.815373693,0.377947342,0
,,,,,,,,,
2022all,40,20,adam_005,relu,0.794782461,0.735821111,-0.027257373,0.891505727,0
,,,,,,,,,
2022all,40,20,adam_005,tanh,0.122281236,0.265449928,0.841951342,0.349687341,0
,,,,,,,,,
2022all,40,20,adam_005,sigmoid,0.821936696,0.75465126,-0.062354257,0.906607245,0
,,,,,,,,,
2022all,40,20,adam_01,relu,0.792795885,0.734173538,-0.02468972,0.890390861,0
,,,,,,,,,
2022all,40,20,adam_01,tanh,0.21646945,0.367062568,0.720212953,0.465262775,0
,,,,,,,,,
2022all,40,20,adam_01,sigmoid,0.787824704,0.729888087,-0.018264462,0.887594899,0
,,,,,,,,,
2022all,40,50,sgd_001,relu,0.700666433,0.266096786,0.094387718,0.837058202,0
,,,,,,,,,
2022all,40,50,sgd_001,tanh,0.117214708,0.255555996,0.848499837,0.342366335,0
,,,,,,,,,
2022all,40,50,sgd_001,sigmoid,0.292175384,0.412009474,0.622362934,0.5405325,0
,,,,,,,,,
2022all,40,50,sgd_0001,relu,0.671755762,0.355405154,0.131754797,0.819607078,0
,,,,,,,,,
2022all,40,50,sgd_0001,tanh,0.212752669,0.348975554,0.725016897,0.461251199,0
,,,,,,,,,
2022all,40,50,sgd_0001,sigmoid,0.653480063,0.652429879,0.155376163,0.808381137,0
,,,,,,,,,
2022all,40,50,adam_001,relu,0.088904438,0.218926608,0.885090897,0.298168472,0
,,,,,,,,,
2022all,40,50,adam_001,tanh,0.075684668,0.212416293,0.902177467,0.275108466,0
,,,,,,,,,
2022all,40,50,adam_001,sigmoid,0.073202162,0.204426297,0.90538611,0.270558981,0
,,,,,,,,,
2022all,40,50,adam_0001,relu,1.26436116,0.266416138,-0.634188456,1.124438153,0
,,,,,,,,,
2022all,40,50,adam_0001,tanh,0.081697082,0.213680599,0.894406414,0.285827015,0
,,,,,,,,,
2022all,40,50,adam_0001,sigmoid,0.092871472,0.230198725,0.8799635,0.304748212,0
,,,,,,,,,
2022all,40,50,sgd_005,relu,0,0,0,0,100
,,,,,,,,,
2022all,40,50,sgd_005,tanh,0.094725192,0.227865555,0.877567565,0.30777458,0
,,,,,,,,,
2022all,40,50,sgd_005,sigmoid,0.132796392,0.276246829,0.82836049,0.364412392,0
,,,,,,,,,
2022all,40,50,sgd_01,relu,0,0,0,0,100
,,,,,,,,,
2022all,40,50,sgd_01,tanh,0.090495666,0.22845787,0.883034234,0.300824975,0
,,,,,,,,,
2022all,40,50,sgd_01,sigmoid,0.120457351,0.263701849,0.844308716,0.347069663,0
,,,,,,,,,
2022all,40,50,adam_005,relu,0.795934456,0.736753846,-0.028746327,0.892151588,0
,,,,,,,,,
2022all,40,50,adam_005,tanh,0.148864991,0.30386409,0.807591804,0.385830262,0
,,,,,,,,,
2022all,40,50,adam_005,sigmoid,0.889918558,0.792962581,-0.150220902,0.943354948,0
,,,,,,,,,
2022all,40,50,adam_01,relu,0.775437938,0.71550771,-0.002254551,0.88058954,0
,,,,,,,,,
2022all,40,50,adam_01,tanh,0.178800283,0.331574453,0.768900401,0.422847824,0
,,,,,,,,,
2022all,40,50,adam_01,sigmoid,0.897020479,0.724389499,-0.159400145,0.947111651,0
,,,,,,,,,
2022all,40,80,sgd_001,relu,0.784730775,0.726975739,-0.014265554,0.885850312,0
,,,,,,,,,
2022all,40,80,sgd_001,tanh,0.111185493,0.242552122,0.856292604,0.333444888,0
,,,,,,,,,
2022all,40,80,sgd_001,sigmoid,0.214666453,0.353307379,0.722543328,0.463321112,0
,,,,,,,,,
2022all,40,80,sgd_0001,relu,0.570443965,0.32206423,0.262700428,0.755277409,0
,,,,,,,,,
2022all,40,80,sgd_0001,tanh,0.191276588,0.325579128,0.75277476,0.43735179,0
,,,,,,,,,
2022all,40,80,sgd_0001,sigmoid,0.610453933,0.631585577,0.210987492,0.781315514,0
,,,,,,,,,
2022all,40,80,adam_001,relu,0.097760913,0.223316676,0.873643892,0.312667415,0
,,,,,,,,,
2022all,40,80,adam_001,tanh,0.082857246,0.219119745,0.892906901,0.287849346,0
,,,,,,,,,
2022all,40,80,adam_001,sigmoid,0.069983749,0.201111442,0.909545912,0.264544419,0
,,,,,,,,,
2022all,40,80,adam_0001,relu,0.316484372,0.233343079,0.590943535,0.562569437,0
,,,,,,,,,
2022all,40,80,adam_0001,tanh,0.079418783,0.214282274,0.897351119,0.281813382,0
,,,,,,,,,
2022all,40,80,adam_0001,sigmoid,0.083884259,0.215470756,0.891579485,0.289627794,0
,,,,,,,,,
2022all,40,80,sgd_005,relu,0,0,0,0,100
,,,,,,,,,
2022all,40,80,sgd_005,tanh,0.085114006,0.217554516,0.889990035,0.291743048,0
,,,,,,,,,
2022all,40,80,sgd_005,sigmoid,0.121986722,0.258925393,0.842332002,0.349265976,0
,,,,,,,,,
2022all,40,80,sgd_01,relu,0,0,0,0,100
,,,,,,,,,
2022all,40,80,sgd_01,tanh,0.083600347,0.215100075,0.891946443,0.289137245,0
,,,,,,,,,
2022all,40,80,sgd_01,sigmoid,0.107423523,0.253371165,0.861154955,0.32775528,0
,,,,,,,,,
2022all,40,80,adam_005,relu,0.774729131,0.714069661,-0.001338418,0.880186987,0
,,,,,,,,,
2022all,40,80,adam_005,tanh,0.11966797,0.278733791,0.845328991,0.345930586,0
,,,,,,,,,
2022all,40,80,adam_005,sigmoid,0.780950184,0.703148968,-0.009379136,0.883713859,0
,,,,,,,,,
